Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
Pharmacien de Production-Site,Sothema,Casablanca,"Pharmacie, Santé",CDI,Bac+5,3 à 5 ans,Excel,Non spécifié,"Communication, Organisation, Gestion de projet, Innovation, Résolution de problèmes, Relationnel, Flexibilité, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-pharmacien-de-production-site-recrutement-sothema-ain-sebaa-184082.html,4.0
Senior Cloud Network Engineer,Cnexia tech,Rabat,Telecom,CDI,Bac+5,5 à 10 ans,"ERP, Excel",Anglais,"Communication, Autonomie, Rigueur, Organisation, Innovation, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-senior-cloud-network-engineer-recrutement-cnexia-tech-rabat-183551.html,7.5
Senior Java Software Engineer (AI Integration),Leyton,Casablanca,Informatique,CDI,Bac+5,3 à 5 ans,"FEA, ERP, Lean, Python",Non spécifié,"Communication, Autonomie, Organisation, Créativité, Leadership, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-senior-java-software-engineer-ai-integration-recrutement-leyton-casablanca-183974.html,4.0
Design Specialist,Yazaki Morocco,Kénitra,"Automobile, Motos, Cycles",CDI,Bac+5,1 à 3 ans,"SOLIDWORKS, CATIA, CAO, DAO, Modélisation, Lean, Excel",Non spécifié,"Communication, Communication, Travail en équipe, Travail en équipe, Autonomie, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Proactivité, Initiative",https://www.rekrute.com/fr/offre-emploi-design-specialist-recrutement-yazaki-morocco-kenitra-183795.html,2.0
Responsable Marketing & Communication (H/F),Groupe Le Matin,Casablanca,"Communication, Evénementiel",CDI,Bac+5,3 à 5 ans,Excel,Non spécifié,"Communication, Travail en équipe, Autonomie, Organisation, Gestion de projet, Innovation, Proactivité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-marketing-communication-hf-recrutement-groupe-le-matin-casablanca-183779.html,4.0
Ingénieur support PHP (F/H),Sofrecom Maroc,Casablanca,Telecom,CDI,Bac+5,3 à 5 ans,"SQL, VBA, Excel","Français, Anglais","Communication, Travail en équipe, Autonomie, Autonomie, Organisation, Innovation, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-support-php-fh-recrutement-sofrecom-maroc-casablanca-183171.html,4.0
Responsable Production (ovoproduits),Domino HR Morocco,Casablanca,Agroalimentaire,CDI,Bac+5,1 à 3 ans,SAP,Non spécifié,"Organisation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-production-ovoproduits-recrutement-domino-hr-morocco-casablanca-183763.html,2.0
Technicien Production (Rondier),Ciments du Maroc,Témara,"Electro-mécanique, Mécanique",CDI,Bac+2,3 à 5 ans,Non spécifié,Non spécifié,"Communication, Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-technicien-production-rondier-recrutement-ciments-du-maroc-temara-183723.html,4.0
Technicien Laboratoire,Ciments du Maroc,Nador,Non spécifié,CDI,Bac+2,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, Travail en équipe, Rigueur, Organisation, Innovation, Adaptabilité, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-technicien-laboratoire-recrutement-ciments-du-maroc-nador-183696.html,4.0
Ingénieur réseau (F/H),Sofrecom Maroc,Rabat,Informatique,CDI,Bac+5,3 à 5 ans,Excel,Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-reseau-fh-recrutement-sofrecom-maroc-rabat-183442.html,4.0
Technicien Maintenance Mécanique,Ciments du Maroc,Témara,"Electro-mécanique, Mécanique",CDI,Bac+2,1 à 3 ans,Non spécifié,"Français, Arabe","Communication, Communication, Travail en équipe, Rigueur, Organisation, Innovation, Adaptabilité, Relationnel",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-mecanique-recrutement-ciments-du-maroc-temara-183623.html,2.0
Chef d'Équipe Mécanique,Ciments du Maroc,Témara,"Electro-mécanique, Mécanique",CDI,Bac+2,5 à 10 ans,Non spécifié,"Français, Anglais, Arabe","Communication, Rigueur, Organisation, Leadership, Innovation, Adaptabilité, Relationnel, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-chef-dequipe-mecanique-recrutement-ciments-du-maroc-temara-183622.html,7.5
Auditeur Interne Senior,Aya Gold & Silver,Casablanca,"Comptabilité, Audit",CDI,Bac+5,5 à 10 ans,Excel,"Français, Anglais","Communication, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-auditeur-interne-senior-recrutement-aya-gold-silver-casablanca-183063.html,7.5
KEY ACCOUNT MANAGER (H/F) – Robinetterie Industrielle / Transport de Fluides,FIRM,Chellalat - mohammédia,"Electro-mécanique, Mécanique",CDI,Bac+5,1 à 3 ans,Excel,"Français, Anglais","Autonomie, Relationnel",https://www.rekrute.com/fr/offre-emploi-key-account-manager-hf-robinetterie-industrielle-transport-de-fluides-recrutement-firm-chellalat---mohammedia-184438.html,2.0
Assistant (e) Achat Technique,Confidentiel,Casablanca,Non spécifié,CDI,Bac+3,1 à 3 ans,Non spécifié,Non spécifié,"Travail en équipe, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-assistant-e-achat-technique-recrutement-confidentiel-casablanca-184334.html,2.0
Superviseur technique & Actifs,Groupe Label'Vie - Carrefour,Rabat,Agroalimentaire,CDI,Bac+2,1 à 3 ans,"Inventor, DAO",Non spécifié,"Organisation, Innovation, Adaptabilité, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-superviseur-technique-actifs-recrutement-groupe-labelvie---carrefour-rabat-183832.html,2.0
Technicien conditionnement,Confidentiel,Casablanca,Agroalimentaire,Non spécifié,Bac+3,0 an,"ERP, Automatisme",Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-conditionnement-recrutement-confidentiel-casablanca-183568.html,0.0
Technicien maintenance automatisme,Confidentiel,Casablanca,Agroalimentaire,Non spécifié,Bac+3,0 an,"ERP, Automatisme",Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-automatisme-recrutement-confidentiel-casablanca-183538.html,0.0
Technicien maintenance,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac+2,0 an,Non spécifié,Non spécifié,Organisation,https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-recrutement-confidentiel-casablanca-183536.html,0.0
Technicien de maintenance,Best Biscuits Maroc,Had soualem,Agroalimentaire,CDI,Bac+2,1 à 3 ans,"Automatisme, Excel",Non spécifié,"Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-de-maintenance-recrutement-best-biscuits-maroc-had-soualem-183382.html,2.0
Chef d'équipe BYD BUS,Auto Nejma Maroc S.A.,Casablanca,"Automobile, Motos, Cycles",CDI,Bac+2,5 à 10 ans,Excel,Non spécifié,"Communication, Rigueur, Organisation, Leadership, Innovation, Résolution de problèmes, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-chef-dequipe-byd-bus-recrutement-auto-nejma-maroc-s.a.-casablanca-183254.html,7.5
Manager de site ( Facility Management ) Fés,AXA Services Maroc,Fès,Centre d'appels,CDI,Bac+4,5 à 10 ans,Non spécifié,Non spécifié,"Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-manager-de-site-facility-management-fes-recrutement-axa-services-maroc-fes-184593.html,7.5
Business Development Manager-Rabat/Marrakech CFO/CFA,Lamalif Group,Rabat,"Construction, Génie Civil",CDI,Bac+5,5 à 10 ans,"NX, ERP","Français, Anglais, Arabe","Communication, Autonomie, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-business-development-manager-rabatmarrakech-cfocfa-recrutement-lamalif-group-rabat-183689.html,7.5
Key Account Manager,Lamalif Group,Rabat,"Construction, Génie Civil",CDI,Bac+5,5 à 10 ans,Excel,Non spécifié,"Autonomie, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-key-account-manager-recrutement-lamalif-group-rabat-183642.html,7.5
Chargé de Projet Senior Technique,ITHMAR CAPITAL,Rabat,Energie,CDI,Bac+5,3 à 5 ans,"Modélisation, Excel","Français, Anglais","Communication, Autonomie, Rigueur, Gestion de projet, Relationnel",https://www.rekrute.com/fr/offre-emploi-charge-de-projet-senior-technique-recrutement-ithmar-capital-rabat-183141.html,4.0
Responsable Entité Climat,CDG,Rabat,Non spécifié,CDI,Bac+5,5 à 10 ans,Excel,Non spécifié,Initiative,https://www.rekrute.com/fr/offre-emploi-responsable-entite-climat-recrutement-cdg-rabat-183515.html,7.5
COMMERCIAL SÉDENTAIRE (H/F) – Robinetterie Industrielle / Transport de Fluides,FIRM,Mohammedia,"Electro-mécanique, Mécanique",CDI,Bac+2,1 à 3 ans,Non spécifié,Français,"Travail en équipe, Autonomie, Organisation, Flexibilité, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-commercial-sedentaire-hf-robinetterie-industrielle-transport-de-fluides-mohammedia-recrutement-firm-chellalat---mohammedia-184439.html,2.0
Superviseur Traitement - Usines (Taliouine-ASKAOUNE),Aya Gold & Silver,Taliouine,"Chimie, Parachimie, Peintures",CDI,Bac+2,0 an,ERP,Non spécifié,"Communication, Communication, Rigueur, Organisation, Leadership, Réactivité",https://www.rekrute.com/fr/offre-emploi-superviseur-traitement---usines-taliouine-askaoune-recrutement-aya-gold-silver-taliouine-184261.html,0.0
Technicien Ascensoriste,VINCI Energies Afrique de l'Ouest,Casablanca,Electricité,CDI,Bac+2,3 à 5 ans,Non spécifié,Non spécifié,"Communication, Autonomie, Rigueur, Organisation",https://www.rekrute.com/fr/offre-emploi-technicien-ascensoriste-recrutement-vinci-energies-afrique-de-louest-casablanca-183355.html,4.0
Concepteur mécanique aéronautique,Akkodis Maroc,Casablanca,Non spécifié,CDI,Bac+2,3 à 5 ans,"SOLIDWORKS, CATIA, CAO, Conception mécanique, Modélisation, Robotique, Excel",Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Résolution de problèmes, Proactivité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-concepteur-mecanique-aeronautique-recrutement-akkodis-maroc-casablanca-184341.html,4.0
Product Owner (F/H),Sofrecom Maroc,Casablanca,Informatique,CDI,Bac+5,3 à 5 ans,Excel,"Français, Anglais","Communication, Autonomie, Organisation, Innovation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-product-owner-fh-recrutement-sofrecom-maroc-casablanca-184584.html,4.0
"Ingenieur R&D en Genie Electrique, Systemes Embarques et Telecommunication",UM6P - Université Mohammed VI Polytechnique,Benguerir,"Enseignement, Formation",CDD,Bac+5,0 an,"MATLAB, Simulink, Excel",Non spécifié,"Communication, Autonomie, Organisation, Créativité, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-rd-en-genie-electrique-systemes-embarques-et-telecommunication-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-184560.html,0.0
Software Engineer Python / DevOps,Coface,Casablanca,Informatique,CDI,Bac+5,3 à 5 ans,"Python, SQL",Anglais,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-software-engineer-python-devops-recrutement-coface-casablanca-184529.html,4.0
Chef de Projet MOE - MOA (H/F),Sorec,Rabat,Informatique,CDI,Bac+5,5 à 10 ans,"Modélisation, Ms project",Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-chef-de-projet-moe---moa-hf-recrutement-sorec-rabat-184198.html,7.5
Tech Lead Backend (Node.js),Confidentiel,Casablanca,"Recrutement, Intérim",CDI,Bac+5,5 à 10 ans,"Lean, SQL, Excel","Français, Anglais","Travail en équipe, Autonomie, Organisation, Créativité, Leadership, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-tech-lead-backend-node.js-recrutement-confidentiel-casablanca-184189.html,7.5
Business Analyst - Technopolis,Confidentiel,Rabat,Informatique,CDI,Bac+5,5 à 10 ans,Modélisation,Anglais,"Communication, Travail en équipe, Autonomie, Créativité, Proactivité",https://www.rekrute.com/fr/offre-emploi-business-analyst---technopolis-recrutement-confidentiel-rabat-183798.html,7.5
Anaplan Model Builder (H/F),BTechnologie,Rabat,Informatique,CDI,Bac+5,1 à 3 ans,"Modélisation, Excel",Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Gestion de projet, Innovation, Résolution de problèmes, Proactivité",https://www.rekrute.com/fr/offre-emploi-anaplan-model-builder-hf-recrutement-btechnologie-rabat-183712.html,2.0
Ingénieur Sécurité & Réseaux Senior,GSM AL MAGHRIB,Casablanca,Non spécifié,CDI,Bac+5,5 à 10 ans,"ERP, Python","Français, Anglais","Communication, Rigueur, Organisation, Leadership, Innovation, Flexibilité, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-securite-reseaux-senior-recrutement-gsm-al-maghrib-casablanca-183705.html,7.5
Ingénieur Sécurité & Réseaux Junior,GSM AL MAGHRIB,Casablanca,Non spécifié,CDI,Bac+5,1 à 3 ans,Python,"Français, Anglais","Communication, Esprit d'équipe, Autonomie, Autonomie, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-securite-reseaux-junior-recrutement-gsm-al-maghrib-casablanca-183704.html,2.0
Concepteur Développeur Java Angular (F/H),Sofrecom Maroc,Casablanca,Telecom,CDI,Bac+5,3 à 5 ans,"Modélisation, SQL, Excel",Non spécifié,"Communication, Autonomie, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-concepteur-developpeur-java-angular-fh-recrutement-sofrecom-maroc-casablanca-183700.html,4.0
Public Cloud Solution Consultant (H/F),Orange Maroc,Casablanca,Telecom,CDI,Bac+5,5 à 10 ans,Non spécifié,Non spécifié,"Communication, Autonomie, Innovation",https://www.rekrute.com/fr/offre-emploi-public-cloud-solution-consultant-hf-recrutement-orange-maroc-casablanca-183309.html,7.5
Campus & Unified Communications Solution Product Manager (H/F),Orange Maroc,Casablanca,Informatique,CDI,Bac+5,5 à 10 ans,Non spécifié,Non spécifié,"Communication, Autonomie, Innovation",https://www.rekrute.com/fr/offre-emploi-campus-unified-communications-solution-product-manager-hf-recrutement-orange-maroc-casablanca-183314.html,7.5
Chef de projet Analytical Center,CDG,Rabat,Non spécifié,CDI,Bac+5,5 à 10 ans,"Modélisation, ERP, Python, SQL",Non spécifié,"Autonomie, Rigueur, Organisation",https://www.rekrute.com/fr/offre-emploi-chef-de-projet-analytical-center-recrutement-cdg-rabat-183462.html,7.5
Technicien Mécanicien,Batifer,Mohammedia,Construction,CDI,Bac+5,2 à 5 ans,BTP,Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-mecaniien-mohammedia-9403945,3.5
Technicien en Fabrication Mécanique,Tectra,Casablanca,Non spécifié,Intérim,Bac+2,0 an,"Fabrication,Fabrication Mécanique,Maintenance,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-fabrication-mecanique-casablanca-9441300,0.0
Technicien Electromécanique/Mécanique,Tectra,Casablanca,Non spécifié,Intérim,Bac+2,0 an,"Maintenance,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-electromecaniquemecanique-casablanca-9425935,0.0
Inspecteur Mécanique,Briqueterie Jbel Annour,Mohammedia,Non spécifié,CDI,Bac+5,2 à 5 ans,"Entretien,Maintenance,Mécanique,Sécurité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/inspecteur-mecanique-mohammedia-9001489,3.5
Préparateur Mécanique,Briqueterie Jbel Annour,Mohammedia,"Construction, Construction",CDI,Bac+5,2 à 5 ans,"BTP,Construction",Non spécifié,Organisation,https://www.emploi.ma/offre-emploi-maroc/preparateur-mecanique-mohammedia-9403261,3.5
Chargé de Maintenance et Entretien (mécanique),Tectra Casa Tertiaire – Recrutement,Casablanca,Construction,CDI,Bac+5,2 ans,"Communication,Électromécanique,Génie Électrique,Maintenance,Maintenance Industrielle,Production,Qualité,Techniques de Maintenance",Non spécifié,Communication,https://www.emploi.ma/offre-emploi-maroc/charge-maintenance-entretien-mecanique-casablanca-9367962,2.0
Mécanicien de Maintenance Industrielle,Tectra Casa Bourgogne – Recrutement,Casablanca,Non spécifié,Intérim,Bac+5,2 à 5 ans,"Machines,Maintenance,Maintenance Industrielle,Maintenance Préventive,Mécanique Industrielle,Production,Qualité,Qualité Mécanique,Réparation",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/mecanicien-maintenance-industrielle-casablanca-9440716,3.5
Technicien de Maintenance - Sala Al Jadida,Lear Automotive Morocco,Salé,Non spécifié,CDI,Bac+2,2 à 5 ans,"Automatisme,Automatisme Mécanique,Dessin Industriel,DU,Électromécanique,Électronique,Machines,Maintenance,Maintenance Industrielle,Maintenance Préventive,Mécanique Électronique,Processus,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-sala-al-jadida-parc-technopolis-rabat-8299955,3.5
Maintenance Technician - Sala Al Jadida,Lear Automotive Morocco,Salé,Non spécifié,CDI,Bac+3,2 ans,"Automatisme,Automatisme Mécanique,Dessin Industriel,DU,Électromécanique,Électronique,Machines,Maintenance,Maintenance Industrielle,Maintenance Préventive,Mécanique Électronique,Processus,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/maintenance-technician-sala-al-jadida-parc-technopolis-rabat-9165261,2.0
Coordinateur de Maintenance H/F,Crit Tanger,Kénitra,"Agroalimentaire, Plasturgie",Intérim,Bac+3,2 à 5 ans,"Agroalimentaire,AMDEC,Amélioration Continue,Automatisme Hydraulique,Électromécanique,Génie Industriel,Gestion de la Maintenance,Hydraulique,Hydraulique Pneumatique,Ishikawa,Maintenance,Maintenance Mécanique,Maintenance Préventive,Mécanique Hydraulique,MTBF,Ordonnancement Pilotage Coordination,Planification et Ordonnancement,Plasturgie,Pneumatique,Production,Qualité",Non spécifié,Réactivité,https://www.emploi.ma/offre-emploi-maroc/coordinateur-maintenance-hf-kenitra-9461531,3.5
